YearMonth,Year,Month,Category,Actual_Sales,Actual_Profit,Budget_Sales,Variance_Sales,Variance_pct
2017-03,2017,3,Furniture,10893.4448,1000.8532,13825.179360000002,-2931.7345600000026,-21.2
2017-03,2017,3,Office Supplies,14550.286,2715.9624,19948.97065,-5398.684649999999,-27.1
2017-03,2017,3,Technology,33428.621999999996,11035.0759,23724.6372,9703.984799999995,40.9
2017-04,2017,4,Furniture,9065.9581,202.46240000000003,14269.057200000001,-5203.099100000001,-36.5
2017-04,2017,4,Office Supplies,15072.191,3370.6015,12244.564049999999,2827.6269500000017,23.1
2017-04,2017,4,Technology,12383.387,-2639.7739,16379.552200000002,-3996.1652000000013,-24.4
2017-05,2017,5,Furniture,16957.5582,-72.88289999999998,16329.421800000002,628.1363999999976,3.8
2017-05,2017,5,Office Supplies,13736.964,3153.726,14990.482299999998,-1253.518299999998,-8.4
2017-05,2017,5,Technology,13566.588000000002,3261.7397,31715.9601,-18149.3721,-57.2
2017-06,2017,6,Furniture,19008.5867,904.9956,14116.217760000001,4892.3689399999985,34.7
2017-06,2017,6,Office Supplies,16912.039,3378.9820999999997,12537.081499999998,4374.957500000002,34.9
2017-06,2017,6,Technology,17061.1,3939.3579999999997,18009.3672,-948.267200000002,-5.3
2017-07,2017,7,Furniture,11813.022,324.62440000000004,14114.000520000001,-2300.9785200000006,-16.3
2017-07,2017,7,Office Supplies,10241.468,2563.2844999999998,14863.110599999998,-4621.642599999997,-31.1
2017-07,2017,7,Technology,23209.926,4064.7122999999997,14595.900000000001,8614.025999999998,59.0
2017-08,2017,8,Furniture,15441.874,322.23900000000003,13481.890884,1959.9831159999994,14.5
2017-08,2017,8,Office Supplies,30059.852,6067.858200000001,10303.701,19756.150999999998,191.7
2017-08,2017,8,Technology,17619.162,2650.8585000000003,10639.6422,6979.5198,65.6
2017-09,2017,9,Furniture,29028.206,1548.6837,29443.911372000002,-415.705372000004,-1.4
2017-09,2017,9,Office Supplies,31895.843,4847.7438,26753.2987,5142.544300000001,19.2
2017-09,2017,9,Technology,26942.603,4595.1281,25171.746600000002,1770.856399999997,7.0
2017-10,2017,10,Furniture,21884.0682,-2526.9202999999998,12822.383160000001,9061.68504,70.7
2017-10,2017,10,Office Supplies,23037.192,4040.7751,18724.0631,4313.1289,23.0
2017-10,2017,10,Technology,32855.663,7761.420700000001,34686.7114,-1831.0483999999997,-5.3
2017-11,2017,11,Furniture,37056.715000000004,406.0637,34326.319104,2730.395896000002,8.0
2017-11,2017,11,Office Supplies,31472.337,3609.1028999999994,23560.3697,7911.9673,33.6
2017-11,2017,11,Technology,49918.773,5674.9371,29855.164900000003,20063.608099999998,67.2
2017-12,2017,12,Furniture,31407.4668,1146.7548,39613.0122,-8205.545399999999,-20.7
2017-12,2017,12,Office Supplies,30436.942,1774.3132,43697.200899999996,-13260.258899999997,-30.3
2017-12,2017,12,Technology,21984.91,5562.2788,24555.0382,-2570.128199999999,-10.5
